2021,Tse,Yang,Lucas,Boo,5,2,1,7,7,7,29,24,96.28%,Gold,medal
2021,Shevonne,Chia,7,2,0,7,7,0,23,53,91.59%,Silver,medal
2021,Xinghui,Hu,7,1,1,7,0,0,16,167,73.14%,Bronze,medal
2021,Pengchong,Lai,7,0,0,7,0,0,14,218,64.89%,Bronze,medal
2021,Choo,Ray,Low,7,0,1,7,7,0,22,63,89.97%,Silver,medal
2021,Ee,"Shua,",Etienne,Ong,7,1,0,7,4,0,19,151,75.73%,Silver,medal
2020,Xinghui,Hu,7,7,1,4,7,0,26,121,80.49%,Silver,medal
2020,Choo,Ray,Low,7,7,4,4,0,0,22,181,70.73%,Bronze,medal
2020,Yangyi,Aloysius,Ng,7,7,0,7,7,1,29,59,90.57%,Silver,medal
2020,Wee,Kean,Tan,7,2,0,7,7,1,24,140,77.40%,Silver,medal
2020,Xu,Chen,Tan,7,5,0,7,7,1,27,114,81.63%,Silver,medal
2020,David,Hui,Kai,Toh,7,7,0,7,1,1,23,162,73.82%,Bronze,medal
2019,Tse,Yang,Lucas,Boo,7,6,4,7,7,0,31,48,92.42%,Gold,medal
2019,Yangyi,Aloysius,Ng,7,6,1,7,7,0,28,65,89.68%,Silver,medal
2019,Yu,Peng,Ng,7,6,7,7,7,1,35,18,97.26%,Gold,medal
2019,Wee,Kean,Tan,7,6,0,7,7,0,27,101,83.87%,Silver,medal
2019,Xu,Chen,Tan,7,0,1,7,7,6,28,65,89.68%,Silver,medal
2019,David,Hui,Kai,Toh,7,6,0,5,7,0,25,132,78.87%,Silver,medal
2018,Tse,Yang,Lucas,Boo,7,7,0,7,7,1,29,61,89.88%,Silver,medal
2018,Puhua,Cheng,7,7,0,7,7,1,29,61,89.88%,Silver,medal
2018,Ker,Yang,Lee,7,7,3,7,7,1,32,27,95.62%,Gold,medal
2018,Yu,Peng,Ng,7,7,0,7,7,6,34,19,96.96%,Gold,medal
2018,Cheng,Shi,6,7,0,7,2,0,22,174,70.83%,Bronze,medal
2018,Junyao,Joel,Tan,7,7,0,7,7,1,29,61,89.88%,Silver,medal
2017,Clarence,Xuan,Da,Chew,7,3,0,7,1,0,18,139,77.52%,Bronze,medal
2017,Yu,Peng,Ng,7,4,0,7,0,0,18,139,77.52%,Bronze,medal
2017,Joel,Junyao,Tan,7,4,0,7,7,4,29,7,99.02%,Gold,medal
2017,Dylan,Shan,Hong,Toh,7,4,0,7,6,0,24,49,92.18%,Silver,medal
2017,Bryan,Peng,Jun,Wang,7,7,0,7,7,0,28,14,97.88%,Gold,medal
2017,Jianzhi,Wang,7,4,0,2,1,0,14,342,44.46%,Honourable,mention
2016,Glen,Wei,An,Lim,7,7,1,7,7,7,36,9,98.67%,Gold,medal
2016,Zhao,Yu,Ma,7,7,7,7,7,3,38,8,98.84%,Gold,medal
2016,Joel,Junyao,Tan,7,7,0,4,7,0,25,78,87.19%,Silver,medal
2016,Sheldon,Kieren,Tan,7,7,1,7,7,7,36,9,98.67%,Gold,medal
2016,Dylan,Shan,Hong,Toh,7,7,2,7,7,3,33,19,97.00%,Gold,medal
2016,Bryan,Peng,Jun,Wang,7,7,0,7,7,0,28,45,92.68%,Silver,medal
2015,Kewei,David,Lin,4,2,7,7,3,2,25,40,93.23%,Silver,medal
2015,Yijia,Liu,7,3,0,7,1,0,18,140,75.87%,Bronze,medal
2015,Zhao,Yu,Ma,7,7,1,7,1,1,24,55,90.63%,Silver,medal
2015,Sheldon,Kieren,Tan,7,7,1,7,7,0,29,19,96.88%,Gold,medal
2015,Siah,Yong,Tan,7,5,0,7,2,2,23,58,90.10%,Silver,medal
2015,Dylan,Shan,Hong,Toh,7,2,1,7,3,0,20,101,82.64%,Silver,medal
2014,Kewei,David,Lin,7,6,1,7,0,0,21,163,71.02%,Bronze,medal
2014,Yan,Hao,Ling,6,5,0,7,7,0,25,95,83.18%,Silver,medal
2014,Yijia,Liu,7,7,4,7,7,0,32,28,95.17%,Gold,medal
2014,Sheldon,Kieren,Tan,7,7,0,7,7,3,31,34,94.10%,Gold,medal
2014,Siah,Yong,Tan,7,6,1,7,7,2,30,36,93.74%,Gold,medal
2014,Dylan,Shan,Hong,Toh,7,7,0,7,1,0,22,124,78.00%,Silver,medal
2013,Hua,Jun,Eugene,Lee,7,7,0,7,7,0,28,61,88.59%,Silver,medal
2013,Jeck,Lim,7,7,7,7,7,5,40,3,99.62%,Gold,medal
2013,Kewei,David,Lin,7,2,7,7,7,0,30,46,91.44%,Silver,medal
2013,Yan,Hao,Ling,7,7,0,7,7,0,28,61,88.59%,Silver,medal
2013,Yijia,Liu,7,7,0,7,7,0,28,61,88.59%,Silver,medal
2013,Siah,Yong,Tan,7,7,0,7,7,0,28,61,88.59%,Silver,medal
2012,Yan,Sheng,Ang,7,1,0,6,6,0,20,140,74.54%,Bronze,medal
2012,Chong,Luck,Ryan,Kor,7,7,3,6,4,0,27,52,90.66%,Silver,medal
2012,You,Jun,Lee,7,6,0,2,7,0,22,96,82.60%,Silver,medal
2012,Er,Lu,Lawrence,Li,7,7,1,5,0,0,20,140,74.54%,Bronze,medal
2012,Jeck,Lim,7,7,7,7,7,7,42,1,100.00%,Gold,medal
2012,Yan,Hao,Ling,7,7,0,6,3,0,23,85,84.62%,Silver,medal
2011,Jie,Jun,Ang,7,7,7,7,7,0,35,6,99.11%,Gold,medal
2011,Yan,Sheng,Ang,7,1,0,7,7,1,23,83,85.41%,Silver,medal
2011,Yue,Ding,7,7,0,7,7,0,28,39,93.24%,Gold,medal
2011,Chong,Luck,Ryan,Kor,7,0,2,7,1,0,17,222,60.68%,Bronze,medal
2011,Jun,Jie,Joseph,Kuan,7,7,7,7,7,1,36,4,99.47%,Gold,medal
2011,Jeck,Lim,7,5,7,7,7,7,40,2,99.82%,Gold,medal
2010,Jie,Jun,Ang,7,7,0,7,1,0,22,76,85.60%,Silver,medal
2010,Yan,Sheng,Ang,7,7,0,7,0,0,21,106,79.85%,Silver,medal
2010,Vincent,Brian,Arifin,Tjeng,7,3,0,3,0,0,13,313,40.12%,Honourable,mention
2010,Jeck,Lim,7,7,0,7,1,0,22,76,85.60%,Silver,medal
2010,Yao,Chen,Ivan,Loh,7,2,0,7,7,0,23,64,87.91%,Silver,medal
2010,Gabriel,Ying,Lin,Wong,7,2,0,6,1,0,16,199,62.00%,Bronze,medal
2009,Ryan,Jun,Neng,Chan,7,7,0,5,2,0,21,181,68.09%,Bronze,medal
2009,Jia-Han,Chiam,7,3,7,1,7,0,25,117,79.43%,Silver,medal
2009,Jeck,Lim,7,7,1,3,0,0,18,208,63.30%,Bronze,medal
2009,Yao,Chen,Ivan,Loh,7,4,1,5,7,0,24,130,77.13%,Silver,medal
2009,Tian,Wen,Daniel,Low,7,7,1,0,0,0,15,249,56.03%,Bronze,medal
2009,Jia,Hao,Barry,Tng,7,1,1,3,1,0,13,283,50.00%,Honourable,mention
2008,Jia-Han,Chiam,7,0,0,7,7,0,21,148,72.47%,Bronze,medal
2008,Jun,Le,Goh,5,1,0,1,0,0,7,392,26.78%
2008,Dominic,Lee,Jun,7,1,0,7,1,0,16,212,60.49%,Bronze,medal
2008,Lei,Lei,5,2,0,7,7,1,22,127,76.40%,Silver,medal
2008,Jun,Ren,Lim,7,1,0,4,0,0,12,297,44.57%,Honourable,mention
2008,Wei,Quan,Lim,7,4,0,7,1,1,20,159,70.41%,Bronze,medal
2007,Jia-Han,Chiam,7,1,2,6,1,0,17,161,69.17%,Bronze,medal
2007,Boon,Leng,Goh,0,0,0,6,1,0,7,402,22.74%
2007,Bryan,Kuen-Yew,Hooi,7,1,0,7,3,0,18,145,72.25%,Bronze,medal
2007,Lei,Lei,3,1,0,7,3,0,14,226,56.65%,Bronze,medal
2007,Wei,Quan,Lim,7,1,0,7,0,0,15,197,62.24%,Bronze,medal
2007,Gar,Goei,Loke,7,1,0,7,1,0,16,171,67.24%,Bronze,medal
2006,Jun,Wei,Ho,7,1,0,7,1,0,16,161,67.81%,Bronze,medal
2006,Bryan,Kuen-Yew,Hooi,7,1,0,6,1,0,15,189,62.17%,Bronze,medal
2006,Wei,Quan,Lim,5,7,0,7,0,0,19,117,76.66%,Silver,medal
2006,Zheng,Kang,Tham,7,1,0,3,3,0,14,254,49.09%,Honourable,mention
2006,Jiawei,Wu,7,1,1,6,0,0,15,189,62.17%,Bronze,medal
2006,Yan,Zhao,7,6,0,7,1,0,21,98,80.48%,Silver,medal
2005,Chongli,Daniel,Chen,2,1,1,7,7,7,25,100,80.66%,Silver,medal
2005,Yong,Sheng,Soh,0,7,7,7,2,3,26,93,82.03%,Silver,medal
2005,Jia,Min,Charmaine,Sia,2,7,0,7,0,2,18,156,69.73%,Bronze,medal
2005,Jingyi,Kenneth,Tay,2,1,7,7,7,2,26,93,82.03%,Silver,medal
2005,Jiawei,Wu,2,4,7,7,2,0,22,122,76.37%,Bronze,medal
2005,Yan,Zhao,0,1,6,7,7,7,28,72,86.13%,Silver,medal
