2011,Lê,Hữu,Phước,7,0,0,7,7,0,21,145,74.38%,Bronze,medal
2011,Đỗ,Kim,Tuấn,7,0,0,7,7,0,21,145,74.38%,Bronze,medal
2011,Nguyễn,Thành,Khang,7,1,1,7,2,0,18,202,64.23%,Bronze,medal
2011,Võ,Văn,Huy,7,0,1,7,2,0,17,222,60.68%,Bronze,medal
2011,Nguyễn,Văn,Quý,7,0,4,0,7,1,19,186,67.08%,Bronze,medal
2011,Nguyễn,Văn,Thế,7,0,2,1,7,0,17,222,60.68%,Bronze,medal
2010,Vũ,Đình,Long,7,7,0,7,0,0,21,106,79.85%,Silver,medal
2010,Nguyễn,Kiều,Hiếu,7,7,1,7,0,0,22,76,85.60%,Silver,medal
2010,Nguyễn,Minh,Hiếu,6,7,0,7,0,0,20,151,71.21%,Bronze,medal
2010,Nguyễn,Ngọc,Trung,7,7,7,7,0,0,28,27,95.01%,Gold,medal
2010,Trần,Thái,Hưng,7,7,0,7,0,0,21,106,79.85%,Silver,medal
2010,Phạm,Việt,Cường,7,7,0,7,0,0,21,106,79.85%,Silver,medal
2009,Phạm,Đức,Hùng,7,7,7,7,5,0,33,37,93.62%,Gold,medal
2009,Tạ,Đức,Thành,2,7,0,6,4,0,19,198,65.07%,Bronze,medal
2009,Nguyễn,Hoàng,Hải,7,3,1,7,7,0,25,117,79.43%,Silver,medal
2009,Phạm,Hy,Hiếu,7,7,1,7,7,0,29,62,89.18%,Silver,medal
2009,Hà,Khương,Duy,7,7,7,7,7,4,39,4,99.47%,Gold,medal
2009,Nguyễn,Xuân,Cương,6,7,0,3,0,0,16,233,58.87%,Bronze,medal
2008,Hoàng,Đức,Ý,7,7,7,6,0,7,34,29,94.76%,Gold,medal
2008,Lê,Ngọc,Anh,7,4,7,7,7,0,32,35,93.63%,Gold,medal
2008,Nguyễn,Phạm,Đạt,7,1,0,7,7,1,23,116,78.46%,Silver,medal
2008,Đỗ,Thị,Thu,Thảo,7,7,0,7,7,1,29,57,89.51%,Silver,medal
2008,Đặng,Trần,Tiến,Vinh,7,7,0,7,0,0,21,148,72.47%,Bronze,medal
2008,Dương,Trọng,Hoàng,7,5,0,7,1,0,20,159,70.41%,Bronze,medal
2007,Thanh,Đặng,Ngọc,7,7,1,7,0,0,22,93,82.27%,Silver,medal
2007,Bách,Đỗ,Xuân,7,7,3,7,7,0,31,12,97.88%,Gold,medal
2007,Sơn,Lê,Ngọc,6,7,1,7,7,0,28,40,92.49%,Silver,medal
2007,Chương,Nguyễn,Xuân,7,7,2,6,6,0,28,40,92.49%,Silver,medal
2007,Tùng,Phạm,Duy,7,7,1,7,7,0,29,28,94.80%,Gold,medal
2007,Thái,Phạm,Thành,7,7,2,7,7,0,30,19,96.53%,Gold,medal
2006,Đức,Đặng,Bảo,7,0,1,7,3,0,18,132,73.64%,Bronze,medal
2006,Hùng,Hoàng,Mạnh,7,1,7,6,7,0,28,27,94.77%,Gold,medal
2006,Quý,Lê,Hồng,7,0,1,6,1,0,15,189,62.17%,Bronze,medal
2006,Trường,Lê,Nam,7,4,1,7,0,0,19,117,76.66%,Silver,medal
2006,Mạnh,Nguyễn,Duy,7,1,7,7,7,0,29,21,95.98%,Gold,medal
2006,Thọ,Nguyễn,Xuân,7,0,7,7,1,0,22,76,84.91%,Silver,medal
2005,Khánh,Đỗ,Quốc,0,1,7,2,7,2,19,144,72.07%,Bronze,medal
2005,Hùng,Nguyễn,Nguyễn,0,7,0,1,7,0,15,207,59.77%,Bronze,medal
2005,Hùng,Phạm,Kim,7,7,7,2,7,2,32,47,91.02%,Silver,medal
2005,Minh,Trần,Chiêu,7,7,6,2,7,2,31,53,89.84%,Silver,medal
2005,Đan,Trần,Trọng,5,7,0,7,7,4,30,57,89.06%,Silver,medal
2005,Tho,Trứờng,Nguyễn,1,1,6,1,7,0,16,191,62.89%,Bronze,medal
2004,Nam,Hứa,Khắc,6,1,3,7,7,2,26,93,81.03%,Silver,medal
2004,Bảo,Lê,Hùng,Việt,6,7,2,7,7,7,36,16,96.91%,Gold,medal
2004,Thinh,Nguyễn,Đức,6,2,2,7,3,7,27,81,83.51%,Silver,medal
2004,Son,Nguyễn,Kim,6,4,4,7,7,7,35,20,96.08%,Gold,medal
2004,Trứồng,Nguyễn,Minh,7,7,0,7,7,7,35,20,96.08%,Gold,medal
2004,Hùng,Phạm,Kim,7,7,2,7,7,7,37,12,97.73%,Gold,medal
2003,Bảo,Lê,Hùng,Việt,7,7,7,7,7,7,42,1,100.00%,Gold,medal
2003,Dang,Hop,Nguyễn,2,7,0,7,7,0,23,59,87.28%,Silver,medal
2003,Dang,Khoa,Nguyễn,7,5,0,7,7,0,26,48,89.69%,Silver,medal
2003,Tien,Viet,Nguyễn,1,5,0,7,7,1,21,83,82.02%,Silver,medal
2003,Trọng,Cảnh,Nguyễn,7,7,7,7,7,7,42,1,100.00%,Gold,medal
2003,Nhat,Huy,Vũ,2,7,0,7,1,1,18,107,76.75%,Bronze,medal
2002,Thanh,Hoang,Mai,7,7,1,0,6,0,21,133,72.38%,Bronze,medal
2002,Thai,Khánh,Hiệp,Phạm,1,7,0,7,7,0,22,113,76.57%,Bronze,medal
2002,Xuân,Truong,Nguyễn,7,7,1,7,7,0,29,29,94.14%,Gold,medal
2002,Hong,Viet,Phạm,3,6,2,7,6,0,24,86,82.22%,Silver,medal
2002,Gia,Vinh,Anh,Phạm,7,7,7,7,7,0,35,10,98.12%,Gold,medal
2002,Ngọc,Minh,Vũ,7,7,7,7,7,0,35,10,98.12%,Gold,medal
2001,Anh,Vinh,Lê,7,7,1,7,3,3,28,46,90.47%,Silver,medal
2001,Đình,Hùng,Lê,7,5,0,7,3,4,26,54,88.77%,Silver,medal
2001,Anh,Quan,Nguyễn,7,7,0,7,1,0,22,87,81.78%,Silver,medal
2001,Hoàng,Dung,Nguyễn,7,0,0,0,0,0,7,296,37.50%,Honourable,mention
2001,Khánh,Toan,Trần,7,7,0,7,2,0,23,73,84.75%,Silver,medal
2001,Ngọc,Minh,Vũ,7,4,1,7,7,7,33,21,95.76%,Gold,medal
2000,Việt,Ha,Bùi,7,3,2,0,1,0,13,190,58.91%,Bronze,medal
2000,Việt,Loc,Bùi,7,7,2,7,7,7,37,11,97.83%,Gold,medal
2000,Vu,Dan,Cao,7,7,0,6,7,2,29,40,91.52%,Silver,medal
2000,Đức,Nhat,Quang,Đỗ,7,7,3,6,4,7,34,19,96.09%,Gold,medal
2000,Minh,Hoai,Nguyễn,7,7,2,6,6,7,35,15,96.96%,Gold,medal
2000,Phi,Lê,Nguyễn,7,7,3,3,1,0,21,100,78.48%,Silver,medal
1999,Quang,Yên,Đỗ,7,7,1,7,7,7,36,6,98.89%,Gold,medal
1999,Bùi,Mạnh,Hùng,7,7,0,7,7,1,29,33,92.87%,Gold,medal
1999,Hoàng,Lê,Thái,7,7,3,7,7,7,38,4,99.33%,Gold,medal
1999,Trần,Văn,Nghia,6,7,1,3,6,1,24,56,87.75%,Silver,medal
1999,Phạm,Tran,Quan,7,7,4,1,7,1,27,39,91.54%,Silver,medal
1999,Nguyễn,Trung,Tu,7,2,0,7,6,1,23,62,86.41%,Silver,medal
1998,Thu,Hà,Đào,Thị,7,7,2,7,0,0,23,104,75.36%,Bronze,medal
1998,Quang,Yên,Đỗ,7,0,7,7,7,1,29,49,88.52%,Silver,medal
1998,Duong,Đoàn,Nhat,7,0,2,7,7,1,24,95,77.51%,Silver,medal
1998,Hoàng,Lê,Thái,7,1,2,6,7,0,23,104,75.36%,Bronze,medal
1998,Tùng,Phạm,Huy,7,3,1,7,7,1,26,73,82.78%,Silver,medal
1998,Anh,Vũ,Việt,3,7,2,7,7,7,33,21,95.22%,Gold,medal
1997,Anh,Đỗ,Quốc,7,7,7,7,7,7,42,1,100.00%,Gold,medal
1997,Phạm,Le,Hung,2,7,7,1,7,6,30,60,87.15%,Silver,medal
1997,Anh,Tú,Nguyễn,7,7,7,0,7,0,28,79,83.01%,Silver,medal
1997,Canh,Hao,Nguyễn,1,7,7,3,7,0,25,100,78.43%,Silver,medal
1997,Tung,To,Tran,3,7,0,7,7,3,27,86,81.48%,Silver,medal
1997,Anh,Trần,Minh,4,7,1,7,7,5,31,56,88.02%,Silver,medal
1996,Ngô,Đắc,Tuấn,7,7,7,7,2,7,37,4,99.29%,Gold,medal
1996,Anh,Đỗ,Quốc,2,7,6,0,0,3,18,111,74.00%,Bronze,medal
1996,Ngô,Đức,Duy,2,7,5,7,5,7,33,14,96.93%,Gold,medal
1996,Phạm,Le,Hung,7,7,2,7,0,4,27,36,91.73%,Silver,medal
1996,Nguyễn,Thái,Ha,4,7,6,7,0,7,31,21,95.27%,Gold,medal
1996,Trinh,Thế,Huynh,2,1,2,1,3,0,9,227,46.57%
1995,Ngô,Đắc,Tuấn,7,7,7,7,7,7,42,1,100.00%,Gold,medal
1995,Hài,Long,Đào,7,7,7,7,7,5,40,17,96.11%,Gold,medal
1995,Phạm,Quang,Tuấn,7,7,7,7,7,0,35,36,91.48%,Silver,medal
1995,Nguyễn,Thế,Phương,7,7,7,7,7,0,35,36,91.48%,Silver,medal
