2021,,Neo,Dahlfors,2,0,0,1,0,0,3,459,25.89%
2021,,Kevin,Haagensen,Strömberg,5,0,0,1,0,0,6,415,33.01%
2021,Erik,Hedin,0,0,0,1,7,0,8,348,43.85%,Honourable,mention
2021,Kalle,Korsman,0,0,0,4,0,0,4,439,29.13%
2021,Vilhelm,Nilsson,Thorsson,7,0,0,7,7,0,21,105,83.17%,Silver,medal
2021,Manja,Rönngren,7,0,0,0,7,0,14,218,64.89%,Bronze,medal
2020,Lycka,Drakengren,7,7,0,7,1,0,22,181,70.73%,Bronze,medal
2020,Fredrik,Ekholm,7,7,0,7,7,0,28,86,86.18%,Silver,medal
2020,David,Engström,0,1,0,7,7,0,15,294,52.36%,Bronze,medal
2020,Loke,Gustafsson,7,0,0,7,1,0,15,294,52.36%,Bronze,medal
2020,Kevin,Haagensen,Strömberg,7,2,0,5,0,0,14,317,48.62%,Honourable,mention
2020,Ferdinand,Rönngren,7,0,7,5,4,0,23,162,73.82%,Bronze,medal
2019,Layth,Basbous,7,1,0,1,0,0,9,417,32.90%,Honourable,mention
2019,Lycka,Drakengren,2,1,0,0,2,0,5,479,22.90%
2019,Hugo,Eberhard,7,7,7,7,7,0,35,18,97.26%,Gold,medal
2019,Fredrik,Ekholm,7,0,0,6,2,0,15,326,47.58%,Honourable,mention
2019,David,Engström,3,0,0,7,7,0,17,275,55.81%,Bronze,medal
2019,Loke,Gustafsson,7,1,0,1,2,0,11,386,37.90%,Honourable,mention
2018,Teodor,Bucht,7,3,0,7,1,0,18,228,61.72%,Bronze,medal
2018,Hugo,Eberhard,7,4,0,7,7,1,26,122,79.60%,Silver,medal
2018,Sebastian,Fodor,7,7,0,7,7,0,28,87,85.50%,Silver,medal
2018,Arvid,Lunnemark,7,7,3,7,7,1,32,27,95.62%,Gold,medal
2018,Björn,Magnusson,7,2,2,7,1,0,19,215,63.91%,Bronze,medal
2018,Ludvig,Olsson,7,0,0,7,1,0,15,290,51.26%,Honourable,mention
2017,Hugo,Eberhard,7,3,0,2,0,0,12,416,32.41%,Honourable,mention
2017,Nicole,Hedblom,7,3,0,7,2,0,19,115,81.43%,Silver,medal
2017,Arvid,Lunnemark,7,1,0,7,2,0,17,188,69.54%,Bronze,medal
2017,Björn,Magnusson,7,0,0,2,2,0,11,442,28.18%,Honourable,mention
2017,Ludvig,Olsson,7,3,0,7,1,0,18,139,77.52%,Bronze,medal
2017,David,Wärn,7,3,0,2,1,1,14,342,44.46%,Honourable,mention
2016,Joakim,Blikstad,7,2,0,7,7,3,26,68,88.85%,Silver,medal
2016,Hugo,Eberhard,7,0,0,7,1,0,15,281,53.41%,Honourable,mention
2016,John,Olof,Hallman,7,6,0,7,1,7,28,45,92.68%,Silver,medal
2016,Nicole,Hedblom,1,2,0,7,0,0,10,400,33.61%,Honourable,mention
2016,Maria,Kulesh,1,0,0,1,0,0,2,515,14.48%
2016,David,Wärn,7,7,0,7,7,0,28,45,92.68%,Silver,medal
2015,Lars,Åström,4,2,0,0,1,0,7,420,27.26%
2015,Martin,Hesselborn,7,0,0,1,1,0,9,365,36.81%,Honourable,mention
2015,Malte,Larsson,7,0,0,7,1,0,15,217,62.50%,Bronze,medal
2015,Lisa,Lokteva,4,0,1,2,1,0,8,394,31.77%
2015,David,Wärn,7,0,0,1,1,0,9,365,36.81%,Honourable,mention
2015,Tianfang,Zhang,7,0,0,7,1,0,15,217,62.50%,Bronze,medal
2014,Lars,Åström,7,7,0,1,0,0,15,296,47.23%,Honourable,mention
2014,Emma,Johansen,7,7,0,2,0,0,16,267,52.42%,Bronze,medal
2014,Malte,Larsson,7,0,0,1,0,0,8,421,24.87%,Honourable,mention
2014,Lisa,Lokteva,7,0,0,7,0,0,14,321,42.75%,Honourable,mention
2014,Johan,Sannemo,7,3,0,1,7,0,18,238,57.60%,Bronze,medal
2014,Tianfang,Zhang,2,0,0,7,0,0,9,404,27.91%,Honourable,mention
2013,Lisa,Lokteva,7,1,0,7,0,0,15,250,52.66%,Bronze,medal
2013,Petter,Restadh,0,0,0,2,0,0,2,460,12.74%
2013,Daniel,Salehi,0,0,0,7,0,0,7,394,25.29%,Honourable,mention
2013,Johan,Sannemo,0,4,0,0,0,0,4,442,16.16%
2013,Mårten,Wiman,7,7,0,7,6,0,27,101,80.99%,Silver,medal
2013,Tianfang,Zhang,7,0,0,0,0,0,7,394,25.29%,Honourable,mention
2012,Joakim,Folke,Andersson,4,0,0,1,0,0,5,450,17.77%
2012,Simon,Lindholm,0,0,4,6,0,2,12,302,44.87%
2012,Samuel,Martin,Ljungdahl,Zackrisson,2,0,0,2,0,0,4,465,15.02%
2012,Daniel,Salehi,7,0,0,1,0,0,8,398,27.29%,Honourable,mention
2012,Vladimir,Valyukh,0,0,0,2,0,0,2,498,8.97%
2012,Mårten,Wiman,7,1,0,7,1,0,16,204,62.82%,Bronze,medal
2011,Marcus,Aronsson,2,0,0,1,0,0,3,491,12.81%
2011,Yue,Jiao,7,0,0,1,1,0,9,378,32.92%,Honourable,mention
2011,Simon,Lindholm,7,0,1,7,7,0,22,113,80.07%,Silver,medal
2011,Torkel,Loman,7,0,0,1,4,0,12,320,43.24%,Honourable,mention
2011,Max,Morin,2,0,0,6,0,0,8,402,28.65%
2011,Rebecca,Staffas,7,0,0,1,7,0,15,282,50.00%,Honourable,mention
2010,Hannes,Carlsson,2,0,0,3,0,0,5,461,11.71%
2010,Benjamin,Fayyazuddin-Ljungberg,6,0,0,3,0,0,9,386,26.10%
2010,Simon,Lindholm,7,0,0,0,7,0,14,266,49.14%,Honourable,mention
2010,Alexandre,Loiko,4,0,0,7,0,0,11,351,32.82%,Honourable,mention
2010,Olof,Salberger,6,0,0,0,0,0,6,445,14.78%
2010,Rebecca,Staffas,7,0,0,0,0,0,7,418,19.96%,Honourable,mention
2009,Hampus,Engsner,7,3,0,2,0,0,12,296,47.70%,Honourable,mention
2009,Gabriel,Isheden,7,7,0,0,0,0,14,264,53.37%,Bronze,medal
2009,Jenny,Johansson,7,0,0,1,0,0,8,376,33.51%,Honourable,mention
2009,Eric,Larsson,7,0,0,0,0,0,7,393,30.50%,Honourable,mention
2009,Rickard,Norlander,7,2,1,0,2,0,12,296,47.70%,Honourable,mention
2009,Peter,Zarén,7,1,0,2,7,0,17,220,61.17%,Bronze,medal
2008,Thomas,Bååth-Sjöblom,7,2,0,4,0,0,13,284,47.00%,Honourable,mention
2008,Gunnar,Guannan,Peng,7,1,0,7,7,0,22,127,76.40%,Silver,medal
2008,Gabriel,Isheden,7,0,0,4,0,0,11,320,40.26%,Honourable,mention
2008,Tony,Johansson,1,1,0,1,0,0,3,459,14.23%
2008,Morgan,Svensson,Seth,1,1,0,4,0,0,6,407,23.97%
2008,Peter,Zarén,7,1,0,4,0,0,12,297,44.57%,Honourable,mention
2007,Harald,Freij,7,1,0,7,0,0,15,197,62.24%,Bronze,medal
2007,Gunnar,Guannan,Peng,6,1,0,7,1,1,16,171,67.24%,Bronze,medal
2007,Zihan,Hans,Liu,7,5,0,7,1,0,20,123,76.49%,Bronze,medal
2007,Anders,Olle,Martinsson,7,0,0,0,1,0,8,365,29.87%,Honourable,mention
2007,Daniel,Xiaochen,Wang,6,1,0,7,0,0,14,226,56.65%,Bronze,medal
2007,Chen,Xing,7,0,1,0,0,0,8,365,29.87%,Honourable,mention
2006,Gunnar,Guannan,Peng,7,7,0,3,1,0,18,132,73.64%,Bronze,medal
2006,Joel,Erik,Larsson,7,7,0,2,0,0,16,161,67.81%,Bronze,medal
2006,Zihan,Hans,Liu,7,1,0,7,0,0,15,189,62.17%,Bronze,medal
2006,Simon,Jakob,Meuller,7,0,0,6,0,0,13,291,41.65%,Honourable,mention
2006,Olof,Heimer,Troeng,0,1,0,7,1,0,9,364,26.96%,Honourable,mention
2006,Chen,Xing,7,1,0,3,0,0,11,319,36.02%,Honourable,mention
2005,Kerstin,Elsa,Maria,Johnsson,3,1,0,1,0,4,9,277,46.09%
2005,Gunnar,Guannan,Peng,2,7,0,1,0,0,10,261,49.22%,Honourable,mention
2005,Simon,Jakob,Meuller,0,1,0,7,0,2,10,261,49.22%,Honourable,mention
2005,Bengt,Møarten,Evert,Selin,2,0,0,1,0,0,3,368,28.32%
2005,Sam,Robert,Thelin,3,1,0,1,0,0,5,341,33.59%
2005,Chen,Xing,1,1,0,1,0,2,5,341,33.59%
2004,David,Belius,0,4,0,3,0,0,7,367,24.54%
2004,Johan,Bredberg,7,4,1,7,0,0,19,187,61.65%,Bronze,medal
2004,Valentina,Chapovalova,4,5,0,7,3,1,20,169,65.36%,Bronze,medal
2004,Kerstin,Elsa,Maria,Johnsson,1,0,0,2,0,0,3,424,12.78%
