2014,Lucresse,Ahoboko,0,0,0,1,0,0,1,507,9.48%
2014,Henri,Joel,Aïdasso,0,0,0,1,0,0,1,507,9.48%
2014,Richard,Akotonou,0,0,0,0,0,0,0,544,2.86%
2009,Arélyss,Eblohoué,0,1,0,0,1,0,2,482,14.72%
2009,Comlan,Edmond,Koudjinan,1,0,0,0,0,0,1,511,9.57%
