2011,Chun,Tung,Raymond,Lo,7,1,0,7,7,0,22,113,80.07%,Silver,medal
2011,Ka,Yu,Tam,7,0,0,7,7,0,21,145,74.38%,Bronze,medal
2011,Bar,Wai,Barry,Wo,7,1,0,7,4,0,19,186,67.08%,Bronze,medal
2010,Tak,Wing,Ching,6,7,1,7,6,0,27,42,92.13%,Gold,medal
2010,Ping,Ngai,Chung,7,7,1,7,0,1,23,64,87.91%,Silver,medal
2010,Ka,Kin,Kenneth,Hung,5,7,1,7,0,0,20,151,71.21%,Bronze,medal
2010,Ka,Yu,Tam,7,0,0,7,7,0,21,106,79.85%,Silver,medal
2010,Hok,Pan,Yip,7,1,0,7,0,0,15,226,56.81%,Bronze,medal
2010,Tak,Hei,Yu,7,0,0,7,1,0,15,226,56.81%,Bronze,medal
2009,Tak,Wing,Ching,7,7,7,7,7,0,35,14,97.70%,Gold,medal
2009,Ping,Ngai,Chung,3,7,1,6,0,0,17,220,61.17%,Bronze,medal
2009,Ka,Kin,Kenneth,Hung,7,7,1,7,2,0,24,130,77.13%,Silver,medal
2009,Cho,Ho,Lam,7,6,1,7,7,0,28,83,85.46%,Silver,medal
2009,Ngai,Fung,Ng,1,7,0,5,1,0,14,264,53.37%,Bronze,medal
2009,Tak,Hei,Yu,0,1,0,0,3,0,4,444,21.45%
2008,Ping,Ngai,Chung,7,1,0,7,0,0,15,238,55.62%,Bronze,medal
2008,Cho,Ho,Lam,7,7,0,4,7,0,25,92,82.96%,Silver,medal
2008,Cheuk,Ting,Li,7,1,0,7,7,0,22,127,76.40%,Silver,medal
2008,Wai,Ming,Tai,5,5,0,1,0,0,11,320,40.26%
2008,Yee,Ka,Tai,7,1,0,4,0,0,12,297,44.57%,Honourable,mention
2008,Chiu,Wai,Wong,7,7,1,0,7,0,22,127,76.40%,Silver,medal
2007,Pok,Wai,Fong,7,7,2,7,1,0,24,68,87.09%,Silver,medal
2007,Jack,Hui,7,7,0,7,1,0,22,93,82.27%,Silver,medal
2007,Cho,Ho,Lam,7,7,0,7,7,0,28,40,92.49%,Silver,medal
2007,Pak,Hin,Lee,2,7,0,7,7,0,23,83,84.20%,Silver,medal
2007,Cheuk,Ting,Li,3,7,0,7,1,0,18,145,72.25%,Bronze,medal
2007,Chiu,Wai,Wong,7,7,0,7,7,0,28,40,92.49%,Silver,medal
2006,On,Yip,Chung,7,7,0,6,0,0,20,109,78.27%,Silver,medal
2006,Pok,Wai,Fong,7,7,5,7,1,0,27,43,91.55%,Silver,medal
2006,Jack,Hui,7,7,1,7,0,0,22,76,84.91%,Silver,medal
2006,Yun,Pui,Tsoi,7,7,1,6,7,0,28,27,94.77%,Gold,medal
2006,Chiu,Wai,Wong,7,1,1,7,0,0,16,161,67.81%,Bronze,medal
