2021,Md.,Fuad,Al,,Alam,4,0,0,6,0,0,10,319,48.54%
2021,Tahmid,Hameem,Chowdhury,7,0,0,7,0,0,14,218,64.89%,Bronze,medal
2021,Nujhat,Ahmed,Disha,2,0,1,7,0,0,10,319,48.54%,Honourable,mention
2021,Tahjib,Hossain,Khan,0,0,0,7,0,0,7,372,39.97%,Honourable,mention
2021,Md.,Maruf,Hasan,,Rubab,6,0,1,7,0,0,14,218,64.89%,Bronze,medal
2021,Adnan,Sadik,5,0,1,7,0,0,13,268,56.80%,Bronze,medal
2020,M,Ahsan,Al,Mahir,7,0,0,7,6,0,20,227,63.25%,Bronze,medal
2020,Soumitra,Das,7,2,0,7,0,0,16,272,55.93%,Bronze,medal
2020,Ahmed,Ittihad,Hasib,7,7,0,7,7,1,29,59,90.57%,Silver,medal
2020,Raiyan,Jamil,7,2,0,7,0,0,16,272,55.93%,Bronze,medal
2020,Md,Maruf,Hasan,Rubab,7,0,0,7,5,0,19,236,61.79%,Bronze,medal
2020,Adnan,Sadik,7,7,0,4,0,0,18,248,59.84%,Bronze,medal
2019,M,Ahsan,Al,Mahir,7,6,0,7,2,0,22,168,73.06%,Bronze,medal
2019,Mashroor,Hasan,Bhuiyan,1,1,0,0,2,0,4,489,21.29%
2019,Soumitra,Das,7,0,0,5,2,0,14,345,44.52%,Honourable,mention
2019,Dewan,Saadman,Hasan,7,0,0,0,2,0,9,417,32.90%,Honourable,mention
2019,Ahmed,Ittihad,Hasib,3,2,0,7,2,0,14,345,44.52%,Honourable,mention
2019,Md,Maruf,Hasan,Rubab,7,6,0,0,0,0,13,361,41.94%,Honourable,mention
2018,Ahmed,Zawad,Chowdhury,7,7,3,7,7,1,32,27,95.62%,Gold,medal
2018,Soumitra,Das,7,1,0,0,0,0,8,413,30.52%,Honourable,mention
2018,Tamzid,Morshed,Rubab,7,7,0,3,1,0,18,228,61.72%,Bronze,medal
2018,Joydip,Saha,7,5,0,7,0,0,19,215,63.91%,Bronze,medal
2018,Rahul,Saha,7,3,0,3,1,0,14,307,48.40%,Honourable,mention
2018,Thanic,Nur,Samin,7,7,0,7,1,1,23,157,73.69%,Bronze,medal
2017,Ahmed,Zawad,Chowdhury,7,2,0,7,7,0,23,64,89.74%,Silver,medal
2017,Asif,E,Elahi,7,7,0,7,3,0,24,49,92.18%,Silver,medal
2017,S,M,Nayeemul,Islam,7,0,0,7,0,0,14,342,44.46%,Honourable,mention
2017,Md,Sabbir,Rahman,7,1,0,7,0,0,15,292,52.61%,Honourable,mention
2017,Tamzid,Morshed,Rubab,7,3,0,7,0,0,17,188,69.54%,Bronze,medal
2017,Rahul,Saha,7,4,0,7,0,0,18,139,77.52%,Bronze,medal
