drzava,leto,ime,N1,N2,N3,N4,N5,N6,empty,skupaj,absolutno_mesto,relativno_mesto,nagrada,spol
ALB,2007,Rinald Murataj,0,1,0,7,0,0,,8,365,29.87,Honourable mention,moški
ALB,2007,Andi Reçi,0,1,0,7,0,0,,8,365,29.87,Honourable mention,moški
ALB,2007,Beniada Shabani,0,1,0,7,3,0,,11,293,43.74,Honourable mention,ženska
ALB,2007,Klevis Ymeri,0,0,0,7,0,0,,7,402,22.74,Honourable mention,moški
ALB,2006,Eni Duka,0,0,0,3,0,0,,3,448,10.06,,moški
ALB,2006,Erion Dula,1,0,0,6,0,0,,7,408,18.11,,moški
ALB,2006,Keler Marku,7,0,0,6,1,0,,14,254,49.09,Honourable mention,moški
ALB,2006,Anri Rembeci,7,1,0,7,0,0,,15,189,62.17,Bronze medal,moški
ALB,2006,Klevis Ymeri,7,0,0,7,0,0,,14,254,49.09,Honourable mention,moški
ALB,2006,Gjergji Zaimi,7,0,1,7,7,1,,23,60,88.13,Silver medal,moški
ALB,2005,Ilirjan Aliaj,7,1,0,1,0,0,,9,277,46.09,Honourable mention,moški
ALB,2005,Iris Aliaj,0,0,0,1,0,0,,1,445,13.28,,ženska
ALB,2005,Erion Dula,0,0,0,0,1,0,,1,445,13.28,,moški
ALB,2005,Keler Marku,0,0,0,0,2,0,,2,396,22.85,,moški
ALB,2005,Ersilio Tushaj,0,1,0,1,1,0,,3,368,28.32,,moški
ALB,2005,Gjergji Zaimi,7,7,0,7,7,0,,28,72,86.13,Silver medal,moški
ALB,2004,Erion Dula,6,1,1,1,1,0,,10,316,35.05,,moški
ALB,2004,Ejona Fuli,2,1,0,1,0,1,,5,396,18.56,,ženska
ALB,2004,Erind Meco,1,6,0,0,1,0,,8,351,27.84,,moški
ALB,2004,Erita Skendaj,7,1,0,2,3,0,,13,272,44.12,Honourable mention,ženska
ALB,2004,Ersilio Tushaj,0,0,0,2,0,0,,2,437,10.1,,moški
ALB,2004,Gjergji Zaimi,7,1,1,7,3,0,,19,187,61.65,Bronze medal,moški
ALB,2003,Ariel Apostoli,0,0,0,3,0,0,,3,386,15.57,,moški
ALB,2003,Arlind Kopliku,2,0,0,3,1,0,,6,339,25.88,,moški
ALB,2003,Eris Runa,0,3,0,0,2,0,,5,346,24.34,,moški
ALB,2003,Gjergji Zaimi,0,1,0,7,1,0,,9,269,41.23,Honourable mention,moški
ALB,2002,Ariel Apostoli,0,1,0,2,0,0,,3,393,17.99,,moški
ALB,2002,Evarist Byberi,0,0,0,5,0,0,,5,360,24.9,,moški
ALB,2002,Arlind Kopliku,1,6,0,7,0,2,,16,191,60.25,Bronze medal,moški
ALB,2002,Dritan Tako,0,0,0,1,0,0,,1,431,10.04,,moški
ALB,2002,Kreshnik Xhangolli,0,0,0,0,0,0,,0,459,4.18,,moški
ALB,2002,Siditan Zagani,0,0,0,0,0,0,,0,459,4.18,,moški
ALB,2001,Ariel Apostoli,0,0,0,0,2,0,,2,398,15.89,,moški
ALB,2001,Erind Bedalli,7,0,0,0,1,0,,8,277,41.53,Honourable mention,moški
ALB,2001,Andi Bejleri,0,0,0,0,2,0,,2,398,15.89,,moški
ALB,2001,Renis Kariqi,2,1,0,0,2,0,,5,327,30.93,,moški
ALB,2001,Arlind Kopliku,0,0,1,2,0,0,,3,364,23.09,,moški
ALB,2000,Erind Bedalli,2,1,0,1,0,2,,6,333,27.83,,moški
ALB,2000,Armand Gela,0,1,0,1,0,0,,2,416,9.78,,moški
ALB,2000,Erida Gjini,0,1,0,0,0,0,,1,438,5.0,,ženska
ALB,2000,Dritan Tako,2,3,0,2,0,0,,7,309,33.04,,moški
ALB,2000,Armela Veliaj,0,0,0,0,1,0,,1,438,5.0,,ženska
ALB,1999,Erind Bedalli,3,1,0,0,1,0,,5,371,17.59,,moški
ALB,1999,Gerard Gjonaj,5,1,1,2,2,0,,11,227,49.67,,moški
ALB,1999,Aurel Koroçi,2,0,0,1,0,1,,4,394,12.47,,moški
ALB,1999,Valentin Tako,2,0,0,0,0,1,,3,422,6.24,,moški
ALB,1999,Erald Vuçini,5,1,1,2,0,2,,11,227,49.67,,moški
ALB,1997,Alkid Ademi,0,7,0,0,0,0,,7,340,26.14,Honourable mention,moški
ALB,1997,Aksel Bode,0,7,0,0,0,0,,7,340,26.14,Honourable mention,moški
ALB,1997,Gerard Gjonaj,1,0,0,0,0,0,,1,419,8.93,,moški
ALB,1996,Rezarta Islami,3,1,1,0,1,0,,6,266,37.35,,ženska
ALB,1996,Erion Plaku,0,0,1,0,0,0,,1,392,7.57,,moški
ALB,1996,Elton Skendaj,2,0,1,0,0,0,,3,353,16.78,,moški
ALB,1996,Migen Temali,0,2,1,1,0,1,,5,290,31.68,,ženska
ALB,1993,Pirro Bracka,0,1,0,0,1,1,,3,339,17.96,,moški
ALB,1993,Mirela Ciperiani,0,0,0,2,2,0,,4,311,24.76,,ženska
ALB,1993,Gjergji Guri,0,0,0,4,1,0,,5,284,31.31,,moški
ALB,1993,Ermir Qeli,0,0,0,0,1,0,,1,390,5.58,,moški
ALB,1993,Jonada Rapo,0,0,0,2,1,0,,3,339,17.96,,ženska
ALB,1993,Gjergji Sugari,0,0,0,0,0,2,,2,360,12.86,,moški
ALG,2021,Fida El Hak Belkhir,6,0,0,0,0,0,,6,415,33.01,,moški
ALG,2021,Maya Chouikrat,0,0,0,0,0,0,,0,533,13.92,,ženska
ALG,2021,Choubaila Guerfi,0,0,0,1,0,0,,1,499,19.42,,ženska
ALG,2021,Youcef Kenane,0,0,0,0,0,0,,0,533,13.92,,moški
ALG,2021,Mohamed Wacyl Meddour,5,0,0,0,0,0,,5,426,31.23,,moški
ALG,2021,Wafaa Mers,2,0,0,2,0,0,,4,439,29.13,,ženska
ALG,2020,Wissam Aissaoui,1,0,0,0,0,0,,1,532,13.66,,ženska
ALG,2020,Raid Berrahal,0,0,0,0,0,0,,0,560,9.11,,moški
ALG,2020,Abdellatif Anas Chentouf,2,2,0,0,0,0,,4,505,18.05,,moški
ALG,2020,Abdellatif Fighouli,0,0,0,0,0,0,,0,560,9.11,,moški
ALG,2020,Amazigh Islam Halil,0,0,0,0,0,0,,0,560,9.11,,moški
ALG,2019,Mohamed Bourbia,7,0,0,0,0,0,,7,463,25.48,Honourable mention,moški
ALG,2019,Abdellatif Anas Chentouf,7,0,0,1,0,0,,8,444,28.55,Honourable mention,moški
ALG,2019,Amazigh Islam Halil,0,0,0,0,0,0,,0,573,7.74,,moški
ALG,2019,Abdeldjalil Hezouat,7,7,0,7,2,0,,23,147,76.45,Bronze medal,moški
ALG,2019,Raihane Sidhoum,7,1,0,0,0,0,,8,444,28.55,Honourable mention,moški
ALG,2018,Anis Brikli,2,0,0,2,0,0,,4,470,20.91,,moški
ALG,2018,Abdeldjalil Hezouat,6,2,0,0,1,1,,10,368,38.11,,moški
ALG,2018,Fady Sayoud,1,0,0,0,0,0,,1,538,9.44,,moški
ALG,2018,Raihane Sidhoum,1,0,0,2,0,0,,3,486,18.21,,moški
ALG,2017,Sara Bentrifa,0,1,0,2,0,0,,3,559,9.12,,ženska
ALG,2017,Younes El Maamoun Benyahia,7,1,0,7,0,0,,15,292,52.61,Honourable mention,moški
ALG,2017,Aimen Daham,7,3,0,1,0,0,,11,442,28.18,Honourable mention,moški
ALG,2017,Abderrahim Hadj Brahim,7,0,0,7,0,0,,14,342,44.46,Honourable mention,moški
ALG,2017,Ilyes Hamdi,7,3,0,7,0,0,,17,188,69.54,Bronze medal,moški
ALG,2017,Abdeldjalil Hezouat,0,3,0,7,0,0,,10,457,25.73,Honourable mention,moški
ALG,2016,Abdou Oussama Benabida,5,0,0,7,0,0,,12,368,38.94,Honourable mention,moški
ALG,2016,Younes El Maamoun Benyahia,7,1,0,0,0,0,,8,429,28.79,Honourable mention,moški
ALG,2016,Ilyes Hamdi,5,0,0,5,0,0,,10,400,33.61,,moški
ALG,2016,Mazigh Lahiani,5,1,0,5,0,0,,11,379,37.1,,moški
ALG,2015,Souheib Abdeldjalil Allout,0,0,0,7,1,0,,8,394,31.77,Honourable mention,moški
ALG,2015,Houssam Eddine Boukhecham,1,1,0,1,0,0,,3,480,16.84,,moški
ALG,2015,Ilyes Hamdi,0,1,1,7,1,0,,10,337,41.67,Honourable mention,moški
ALG,2015,Yassine Hamdi,7,3,1,7,1,0,,19,118,79.69,Silver medal,moški
ALG,2015,Fayssal Saadi,5,1,0,7,1,0,,14,257,55.56,Bronze medal,moški
ALG,2015,Abdelmouksit Sagueni,4,0,0,1,1,0,,6,431,25.35,,moški
ALG,2009,Lamia Attouche,0,1,0,0,0,0,,1,511,9.57,,ženska
ALG,2009,Oussama Guessab,0,0,0,0,0,0,,0,547,3.19,,moški
ALG,2009,Kacem Hariz,0,0,0,0,0,0,,0,547,3.19,,moški
ALG,2009,Hacen Zelaci,1,0,0,0,0,0,,1,511,9.57,,moški
